No,input,instansi,JAWABAN KE PELAPOR
112,Terjadi longsor dan rumah warga tertimbun,BASARNAS,"tetap tenang dan selalu awasi aliran sungai, kami akan menginformasikan ke instansi terkait"
113,banjir di dimboro dan hujan semakin deras,BASARNAS,"laporkan kondisi secara realtime, laporan anda kami teruskan ke pihak terkait"
114,"pak ada banjir di sini, di daerah mamuju",BPBD,"Laporan anak hilang kami terima petugas Pusat Pengendalian Operasi,"
115,saat ini banjir di daerah simboro,BPBD,warga di harap untuk selalu waspada mengingat daerah anda adalah areal rawan bencana
116,terjadi banjir di daerah simboro mamuju dan sekitarnya,BPBD,(1) input data keluarga anda pada url ini ... (2)segera merapat ke posko terdekat berikut Link Maps posko di area anda
117,telah terjadi banjir bandang terdapat 2 unit rumah rusak berat dan terendam lumpur dan beberapa hanya rusak sedang,BPBD,"evakuasi ke tempat yang lebih tinggi, matikan semua aliran listrik yg ada di rumah"
118,telah terjadi bencana banjir 20 rumah terendam rusak ringan,BPBD,"evakuasi ke tempat yang lebih tinggi, matikan semua aliran listrik yg ada di rumah"
119,terjadi banjir dengan ketinggian bervariasi,BPBD,silahkan input data rumah rusak di link ini‹ dan segera evakuasi diri dan keluarga anda
120,terjadi gelombang pasang Rob dan mengakibatkan 10 tambak dan beberapa rumah warga terdampak,BPBD,silahkan input data rumah rusak di link ini ‹.
121,terjadi banjir di daerah korongana,BPBD,evakuasi diri dan keluarga anda ke tempat yg aman
122,apakah masih ada gempa susulan,BPBD,evakuasi diri dan keluarga anda ke tempat yg aman
123,gempa bumi satu rumah warga rusak,BPBD,tetap waspada jika hujan semakin deras segera evakuasi diri
124,kirim data laporan gempa bumi mamuju,BPBD,saat ini warga di himbau agar tetap waspada dan menghindari area reruntuhan rumah
125,orang hanyut di sungai dan saat ini belum di temukan keberadaannya,BASARNAS,berlindung di bawah meja. Lindungi kepala dengan beberapa alat. Hindari gedung tinggi. Cari tanah lapang
126,rumah warga hanyut oleh banjir dan para penghuninya bertahan di atap rumah,BPBD,Gempa bumi adalah getaran atau getar-getar yang terjadi di permukaan bumi akibat pelepasan energi dari dalam secara tiba-tiba yang menciptakan gelombang seismik
127,seorang anak terseret banjir bandang,BASARNAS,hindari daerah rawan pihak yang bertugas akan segera kelokasi untuk melakukan evakuasi
128,ada orang hilang di gunung,BASARNAS,"segera evakuasi diri cari tempat yg aman, petugas akan segera kelokasi"
129,ada orang hilang di hutan,BASARNAS,hindari daerah tebing pihak yang bertugas akan segera kelokasi untuk melakukan evakuasi
130,ada orang tenggelam,BASARNAS,segera evakuasi diri diperkirakan ketinggian air dapat bertambah
131,Melaporkan 2 orang pendaki hilang di daerah gunung,BASARNAS,hindari daerah tebing pihak yang bertugas akan segera kelokasi untuk melakukan evakuasi
132,orang tersesat di gunung,BASARNAS,segera matikan semua aliran listrik yg berdekatan di area kebakaran
133,pendaki meninggal dunia akibat kelelahan perlu bantuan evakuasi,BASARNAS,"segera evakuasi diri, dan keluarga anda, kami akan menyampaikan laporan anda ke pihak terkait"
134,seorang anak kecil tenggelam di danau,BASARNAS,"lakukan upaya untuk mencegah api menyebar, laporan anda kami teruskan ke pihak terkait"
135,"seorang petani di temukan tak bernyawa di area hutan, butuh bantuan evakuasi",BASARNAS,"segera evakuasi diri, dan keluarga anda, kami akan menyampaikan laporan anda ke pihak terkait"
136,seorang petani hanyut di sungai dengan aliran yang deras,BASARNAS,"segera evakuasi diri, dan keluarga anda, kami akan menyampaikan laporan anda ke pihak terkait"
137,lapor ada warga tertimbun material,DAMKAR,LAKUKAN UPAYA PENANGANAN AGAR API TIDAK MENYEBAR
138,Warga tertimbun material longsor,BASARNAS,LAKUKAN UPAYA PENANGANAN AGAR API TIDAK MENYEBAR
139,gudang penyimpanan tiner di tangerang terbakar,DAMKAR,
140,kebakaran terjadi di LTC glodok,DAMKAR,
141,2 rumah kemayoran terbakar,DAMKAR,
142,pelajar iseng pakai cincin berujung datang damkar,DAMKAR,
143,aksi damkar evakuasi pekerja terjepit mesin cetak di semarang,DAMKAR,
144,seorang bocah di jaktim di kerjar ODGJ minta tolong ke petugas damkar,DAMKAR,
145,seekor ulat bersarang di body motor warga klaten,DAMKAR,
146,seorang WNA di JAKBAR mencoba bunuh diri namun di batalkan oleh petugas damkar,DAMKAR,
147,damkar gelar simulasi kebakaran di balai kota DKI,DAMKAR,
148,gedung kementerian terbakar,DAMKAR,
149,damkar evakuasi ular jenis king koro di cibinong,DAMKAR,
150,drivel ojol tercebur ke selokan gegara mengantuk damkar di terjukan,DAMKAR,
151,"monyet peliharaan lepas, warga jakpus telpon damkar",DAMKAR,
152,mobil tercebur di kali sunter Jakpus,DAMKAR,
153,seekor sapi di klaten mati tercebur ke dalam sumur,DAMKAR,
154,anjing milik warga tercebur kedalam sumur sedalam 10 meter,DAMKAR,
155,buaya muara tak terawat di jaksel di evakuasi damkar,DAMKAR,
156,seorang lansia terjebak di lift gedung pancoran jaksel selama 2 jam,DAMKAR,
157,pria di depok terjepit besi penutupan selokan,DAMKAR,
158,petugas damkar evakusi biawak masuk ke dalam sumur milik warga di bogor,DAMKAR,
159,damkar parepare potong cincin di jari perempuan,DAMKAR,
160,damkar evakuasi ular jenis sanca masuk ke dalam aliran air,DAMKAR,
161,"jari mahasiswa terjepit lubang kursi kampus, damkar jogja turun tangan",DAMKAR,
162,damkar di kota bekasi evakuasi 6 orang terjebak ke dalam lift restoran,DAMKAR,
163,damkar selamat kucing terjebak di dalam sumur sedalam 15 meter di bogor,DAMKAR,
164,damkar evakuasi dompet milik warga masuk ke dalam sumur di bogor,DAMKAR,
165,cincin nyangkut di jari hingga bengkak warga lebak bulus lapor damkar,DAMKAR,
166,damkar evakuasi truck mixer tabrak portal di tangsel,DAMKAR,
167,terkunci di dalam mobil bocah 2 tahun di selamat damkar di karanganyar,DAMKAR,
168,bocah 2 tahun tewas tercebur ke dalam sumur sedalam 15 meter di jaksel,DAMKAR,
169,konsleting listrik mengakibatkan rumah terbakar di jalan anuang ,DAMKAR,
170,belasan rumah terbakar dikarenakan kompor salah satu warga meledak,DAMKAR,
171,Seekor kera liar berkeliaran di sekitar pemukiman warga dan menggigit salah satu warga,DAMKAR,
172,Seekor Buaya Masuk kepemukiman warga desa limboto,DAMKAR,
173,"Warga Bogor Panik Ular King Koros Masuk Rumah, Damkar Turun Tangan",DAMKAR,
174,Kabupaten Bogor menerima 23 laporan evakuasi ular selama Oktober 2022,DAMKAR,
175,"Kebakaran di Permukiman Padat Jakbar, 21 Unit Damkar Diterjunkan",DAMKAR,
176,"Temukan Sisik Ular di Rumah, Warga Bogor Panggil Damkar",DAMKAR,
177,"Kaget Injak Ular di Gudang, Warga Cibinong Bogor Panggil Damkar",DAMKAR,
178,"Dapur Tempat Karaoke di Bogor Terbakar, Diduga Akibat Korsleting",DAMKAR,
179,Petugas Berjibaku Padamkan Api yang Bakar Puluhan Rumah di Kebon Jeruk,DAMKAR,
180,"Melilit di Pohon Sukun, Evakuasi Ular Sanca Sepanjang 3 Meter Berlangsung Dramatis",DAMKAR,
181,"Banjir Landa 2 Desa di Lampung Selatan, Damkar Evakuasi 200 Warga Pakai Alat Seadanya",DAMKAR,
182,"Rumah Kebakaran di Tambora, Damkar dan Warga Gotong Royong Padamkan Api",DAMKAR,
183,"Kelamin Bocah di Depok Terjepit Ritsleting, Ortu Minta Bantuan Damkar",DAMKAR,
184,"Kebakaran Toko Material di Pancoran Jaksel, 17 Damkar Dikerahkan",DAMKAR,
185,"Tak Bisa Buka Borgol Saat Kemah, Remaja di Bogor Minta Tolong Damkar",DAMKAR,
186,"Anak Kucing Terjebak Seharian di Selokan, Warga Bogor Lapor Damkar",DAMKAR,
187,"Driver Ojol Tercebur ke Selokan Gegara Ngantuk, Damkar Diterjunkan",DAMKAR,
188,Damkar Bone soal Api Berpindah-pindah di Rumah Warga: di Luar Nalar,DAMKAR,
189,"Monyet Peliharaan Lepas dari Kandang, Warga Jakpus Telepon Damkar",DAMKAR,
190,Aksi Heroik Damkar Selamatkan WNA Coba Bunuh Diri di Apartemen Jakbar,DAMKAR,
191,"Banjir yang terjadi setelah hujan dengan intensitas sedang hingga tinggi itu telah berdampak di empat kecamatan yang meliputi Kecamatan Sidamulya, Kecamatan Kitabung, Kecamatan Candipulo dan Kecamatan Kalianda.",BPBD,
192,Tanah longsor telan 3 korban di sukabumi,BPBD,
193,Angin Putting Beliung Melanda Sidoarjo,BPBD,
194,Banjir kabupaten merangin,BPBD,
195,Satu Desa di karawang terendam banjir,BPBD,
196,hujan lebat terjang kota langsa ribuan rumah terendam banjir,BPBD,
197,tim gabungan evakuasi tiga warga jeneponto tertimbun tanah longsor,BPBD,
198,banjir dan longsor di kabupaten kebumen,BPBD,
199,kebakaran pabrik di gunung putri bogor,BPBD,
200,King Kobra di Tenjo Bogor Dievakuasi Dalam Kondisi Ekor Buntung,DAMKAR,
